country_name,modern_country_name,year,land_size,land_size_plus,continent_size,continent_ratio,dominant_soil,soil_ratio,ore_deposit,dominant_landscape,landscape_ratio,natural_forestation_ratio,max_degree_north,max_degree_south,climate_dominant,climate_t2_dominant,climate_t3_dominant,count_boundaries,longest_border,border_ratio,country_borders,desert_borders,mountain_borders,open_borders,sea_borders,water_borders,if_independent,system_type,sub_system_type,economic_type,if_rich
Kingdom of Spain,Spain,2026,505992,13327,10498000,0.04819890,Luvisol,"0,45",1,Plateaus,"0,45","0,37","43,8",36,Temperate,Dry summer,Hot summer (a),7,sea,"0,7163",5,0,2,3,1,1,Yes,Unitary,Democratic,Social Capitalism,2
Kingdom of Sweden,Sweden,2026,450295,0,10498000,0.04289341,Leptosol,"0,6",2,Plains,"0,6","0,69","69,1","55,3",Continental,Without dry season,Cold summer (c),3,sea,"0,5934",2,0,1,0,1,1,Yes,Unitary,Democratic,Social Capitalism,3
United Kingdom,United Kingdom,2026,242495,18000,10498000,0.02309916,Luvisol,"0,55",1,Archipelagic,"0,55","0,13","60,8","49,9",Temperate,Without dry season,Warm summer (b),2,sea,"0,94",1,0,0,1,1,0,Yes,Unitary,Democratic,Social Capitalism,3
Kingdom of Norway,Norway,2026,385207,0,10498000,0.03669337,Leptosol,"0,65",2,Archipelagic,"0,65","0,37","71,1","57,9",Continental,Without dry season,Cold summer (c),4,sea,"0,612",3,0,1,2,1,1,Yes,Unitary,Democratic,Social Capitalism,3
Swiss Confederation,Switzerland,2026,41285,0,10498000,0.00393265,Leptosol,"0,6",1,Mountains,"0,6","0,32","47,8","45,8",Continental,Without dry season,Warm summer (b),5,mountain,"0,585",5,0,3,2,0,1,Yes,Federal,Democratic,Social Capitalism,3
Republic of Iceland,Iceland,2026,103000,0,10498000,0.00981139,Leptosol,"0,7",0,Archipelagic,"0,7","0,02","66,5","63,3",Continental,Without dry season,Cold summer (c),1,sea,1,0,0,0,0,1,0,Yes,Unitary,Democratic,Social Capitalism,3
Ukraine,Ukraine,2026,480000,0,10498000,0.04572299,Chernozem,"0,9",2,Plains,"0,9","0,16","52,3","44,4",Continental,Without dry season,Warm summer (b),8,loose,"0,72",7,0,1,6,1,1,Yes,Unitary,Democratic,Social Capitalism,1
Republic of Belarus,Belarus,2026,207600,0,10498000,0.01977520,Luvisol,"0,95",1,Plains,"0,95","0,43","56,1","51,3",Continental,Without dry season,Warm summer (b),5,loose,1,5,0,0,5,0,0,Yes,Central,Absolute,Socialism,1
Republic of Moldova,Moldova,2026,33846,0,10498000,0.00322404,Chernozem,"0,8",0,Hills,"0,8","0,12","48,4","45,4",Continental,Without dry season,Warm summer (b),3,loose,1,2,0,0,2,0,1,Yes,Unitary,Restricted,Social Capitalism,1
Republic of Serbia,Serbia,2026,77474,0,10498000,0.00737988,Leptosol,"0,55",1,Mountains,"0,55","0,31","46,1","42,2",Temperate,Without dry season,Hot summer (a),8,loose,1,8,0,0,8,0,1,Yes,Unitary,Restricted,Social Capitalism,1
Bosnia and Herzegovina,Bosnia and Herzegovina,2026,51129,0,10498000,0.00487036,Leptosol,"0,8",1,Mountains,"0,8","0,43","45,2","42,5",Temperate,Without dry season,Hot summer (a),4,mountain,"0,51",3,0,2,1,1,0,Yes,Federal,Restricted,Social Capitalism,1
Republic of Albania,Albania,2026,28748,0,10498000,0.00273843,Leptosol,"0,7",0,Mountains,"0,7","0,28","42,6","39,6",Temperate,Dry summer,Hot summer (a),5,sea,"0,534",4,0,2,2,1,0,Yes,Unitary,Restricted,Social Capitalism,1
Republic of North Macedonia,North Macedonia,2026,25713,0,10498000,0.00244932,Leptosol,"0,8",0,Mountains,"0,8","0,39","42,3","40,8",Temperate,Dry summer,Hot summer (a),5,loose,1,5,0,0,5,0,0,Yes,Unitary,Restricted,Social Capitalism,1
Montenegro,Montenegro,2026,13812,0,10498000,0.00131568,Leptosol,"0,8",0,Mountains,"0,8","0,61","43,5","41,8",Temperate,Dry summer,Hot summer (a),6,sea,"0,47",5,0,3,2,1,1,Yes,Unitary,Restricted,Social Capitalism,1
Principality of Andorra,Andorra,2026,468,0,10498000,0.00004458,Leptosol,1,0,Mountains,1,"0,34","42,6","42,4",Continental,Without dry season,Cold summer (c),2,mountain,1,2,0,2,0,0,0,Yes,Unitary,Democratic,Social Capitalism,3
Principality of Liechtenstein,Liechtenstein,2026,160,0,10498000,0.00001524,Leptosol,"0,66",0,Mountains,"0,66","0,43","47,2",47,Continental,Without dry season,Cold summer (c),2,mountain,"0,52",2,0,1,1,0,1,Yes,Unitary,Democratic,Social Capitalism,3
Principality of Monaco,Monaco,2026,2,0,10498000,0.00000019,Leptosol,1,0,Hills,1,0,"43,7","43,7",Temperate,Dry summer,Hot summer (a),2,sea,"0,51",1,0,0,1,1,0,Yes,Unitary,Democratic,Social Capitalism,3
Republic of San Marino,San Marino,2026,61,0,10498000,0.00000581,Leptosol,1,0,Hills,1,"0,16","43,9","43,9",Temperate,Without dry season,Hot summer (a),1,loose,1,1,0,0,1,0,0,Yes,Unitary,Democratic,Social Capitalism,3
Vatican City State,Vatican City,2026,"0,44",0,10498000,0.00000004,Luvisol,1,0,Hills,1,0,"41,9","41,9",Temperate,Dry summer,Hot summer (a),1,loose,1,1,0,0,1,0,0,Yes,Central,Absolute,Socialism,3
